# file...... Output/hvac/house_hvac_file_020.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_46_381:hvac_load,house_2_8A_tm_2_A_8_Meter_46_382:hvac_load,house_2_1A_tm_2_A_1_Meter_47_383:hvac_load,house_2_2A_tm_2_A_2_Meter_47_384:hvac_load,house_2_3A_tm_2_A_3_Meter_47_385:hvac_load,house_2_4A_tm_2_A_4_Meter_47_386:hvac_load,house_2_5A_tm_2_A_5_Meter_47_387:hvac_load,house_2_6A_tm_2_A_6_Meter_47_388:hvac_load,house_2_7A_tm_2_A_7_Meter_47_389:hvac_load,house_2_8A_tm_2_A_8_Meter_47_390:hvac_load,house_2_9A_tm_2_A_9_Meter_47_391:hvac_load,house_2_10A_tm_2_A_10_Meter_47_392:hvac_load,house_2_11A_tm_2_A_11_Meter_47_393:hvac_load,house_2_12A_tm_2_A_12_Meter_47_394:hvac_load,house_2_13A_tm_2_A_13_Meter_47_395:hvac_load,house_2_14A_tm_2_A_14_Meter_47_396:hvac_load,house_2_15A_tm_2_A_15_Meter_47_397:hvac_load,house_2_1B_tm_2_B_1_Meter_47_398:hvac_load,house_2_2B_tm_2_B_2_Meter_47_399:hvac_load,house_2_3B_tm_2_B_3_Meter_47_400:hvac_load
2010-08-16 19:02:30 UTC,+5.56337975073,+2.14002599103,+5.99142691625,+5.13513500199,+2.99595176322,+0,+2.99592552512,+0,+0,+0,+4.70720389704,+1.28413193104,+2.14003932108,+0,+3.85210684004,+5.9911254294,+4.27967755918,+5.17531390231,+2.58775301563,+3.01901136744
2010-08-16 19:03:00 UTC,+5.55634856728,+2.1373212623,+5.98390651884,+5.12868966819,+2.99219122054,+0,+2.99216503447,+0,+0,+0,+4.70129570979,+1.28252001055,+0,+3.41958015932,+3.84727154741,+5.98360560369,+4.27430576218,+5.17272031186,+2.58645616951,+3.01749840481
2010-08-16 19:03:30 UTC,+5.55483069591,+2.13673857176,+5.98236848082,+5.12737149748,+2.99142213114,+0,+2.99139595572,+0,+0,+0,+4.70008739389,+0,+0,+3.41870122455,+3.8462826549,+5.98206768268,+4.27320714629,+5.17307876007,+2.58663540066,+3.01770750442
2010-08-16 19:04:00 UTC,+5.55702071195,+2.13758101978,+5.9848023354,+5.12945742502,+2.99263916979,+4.27494987577,+2.99261297752,+0,+0,+0,+4.70199948266,+0,+0,+3.42009208703,+3.847847519,+5.98450135212,+4.27494564121,+5.174260903,+2.58722649531,+3.01839710368
2010-08-16 19:04:30 UTC,+5.55740617274,+2.13772929753,+5.98596466747,+5.13045359816,+2.99322038899,+4.27578012744,+2.99319418868,+0,+0,+2.13811885388,+4.7029126359,+0,+0,+3.42075631901,+3.84859484863,+5.98566359581,+4.27577589147,+5.16814610395,+2.58416897582,+3.01483299802
2010-08-16 19:05:00 UTC,+5.56388880138,+2.14022301315,+5.99316061213,+5.13662086087,+2.99681869048,+4.28092017762,+2.99679244039,+0,+0,+2.14069110518,+4.70856592621,+0,+0,+3.42486854883,+0,+5.99285899355,+4.28091593291,+5.16582122521,+2.58300649084,+3.01347678488
2010-08-16 19:05:30 UTC,+5.57222211451,+2.14342864359,+6.00195683284,+5.14415963621,+3.00121720316,+4.28720330223,+0,+0,+0,+2.14383309075,+4.71547642906,+0,+2.14403929245,+3.42989528035,+0,+0,+4.28719904685,+5.16856610514,+2.58437898466,+3.01507800484
2010-08-16 19:06:00 UTC,+5.5667622893,+0,+5.99545475992,+5.13858705344,+2.99796873443,+4.28255888323,+0,+0,+0,+2.14151056841,+4.71036825864,+1.28499525822,+2.14147802884,+3.4261795738,+0,+0,+4.28255463574,+5.16978343775,+2.58498767484,+3.01578813327
2010-08-16 19:06:30 UTC,+5.56995903087,+0,+5.99892326516,+5.14155972575,+2.99970314908,+4.28503643028,+0,+0,+0,+2.14274950884,+4.71309319199,+1.28573869687,+2.14271694618,+3.42816170285,+0,+0,+4.28503217858,+0,+2.58739770219,+0
2010-08-16 19:07:00 UTC,+5.57123828584,+0,+6.00075530895,+0,+3.00061925656,+4.28634505588,+0,+0,+0,+2.14340390979,+4.7145324856,+1.28613137672,+2.14337133493,+3.42920865161,+0,+0,+4.28634080196,+0,+2.58730404131,+0
