# file...... Output/hvac/house_hvac_file_006.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_9A_tm_0_A_9_Meter_11_101:hvac_load,house_0_10A_tm_0_A_10_Meter_11_102:hvac_load,house_0_11A_tm_0_A_11_Meter_11_103:hvac_load,house_0_12A_tm_0_A_12_Meter_11_104:hvac_load,house_0_13A_tm_0_A_13_Meter_11_105:hvac_load,house_0_14A_tm_0_A_14_Meter_11_106:hvac_load,house_0_15A_tm_0_A_15_Meter_11_107:hvac_load,house_0_1B_tm_0_B_1_Meter_12_108:hvac_load,house_0_2B_tm_0_B_2_Meter_12_109:hvac_load,house_0_3B_tm_0_B_3_Meter_12_110:hvac_load,house_0_4B_tm_0_B_4_Meter_12_111:hvac_load,house_0_5B_tm_0_B_5_Meter_12_112:hvac_load,house_0_6B_tm_0_B_6_Meter_12_113:hvac_load,house_0_7B_tm_0_B_7_Meter_12_114:hvac_load,house_0_8B_tm_0_B_8_Meter_12_115:hvac_load,house_0_1C_tm_0_C_1_Meter_16_116:hvac_load,house_0_2C_tm_0_C_2_Meter_16_117:hvac_load,house_0_3C_tm_0_C_3_Meter_16_118:hvac_load,house_0_4C_tm_0_C_4_Meter_16_119:hvac_load,house_0_5C_tm_0_C_5_Meter_16_120:hvac_load
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+1.29479557932,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60994224952,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.61285204053,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.61234584488,+0
2010-08-16 00:51:00 UTC,+3.02712334837,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.47362895338,+5.61129480782,+0
2010-08-16 00:51:30 UTC,+3.0255366208,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.47516803565,+5.61262890845,+0
2010-08-16 00:52:00 UTC,+3.025667247,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.4747998753,+5.61230978128,+0
2010-08-16 00:52:30 UTC,+3.02496279932,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.47406703541,+5.61167454418,+0
2010-08-16 00:53:00 UTC,+3.02561393718,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.48022493809,+0,+0
2010-08-16 00:53:30 UTC,+3.02682050031,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31359565343,+0,+0,+0,+0,+0,+6.47852271415,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.02042379541,+0,+4.31473571386,+0,+0,+5.17740462183,+0,+0,+0,+0,+0
