# file...... Output/hvac/house_hvac_file_025.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_25B_tm_2_B_25_Meter_48_481:hvac_load,house_2_26B_tm_2_B_26_Meter_48_482:hvac_load,house_2_27B_tm_2_B_27_Meter_48_483:hvac_load,house_2_28B_tm_2_B_28_Meter_48_484:hvac_load,house_2_29B_tm_2_B_29_Meter_48_485:hvac_load,house_2_1C_tm_2_C_1_Meter_48_486:hvac_load,house_2_2C_tm_2_C_2_Meter_48_487:hvac_load,house_2_3C_tm_2_C_3_Meter_48_488:hvac_load,house_2_4C_tm_2_C_4_Meter_48_489:hvac_load,house_2_5C_tm_2_C_5_Meter_48_490:hvac_load,house_2_6C_tm_2_C_6_Meter_48_491:hvac_load,house_2_7C_tm_2_C_7_Meter_48_492:hvac_load,house_2_8C_tm_2_C_8_Meter_48_493:hvac_load,house_2_9C_tm_2_C_9_Meter_48_494:hvac_load,house_2_10C_tm_2_C_10_Meter_48_495:hvac_load,house_2_11C_tm_2_C_11_Meter_48_496:hvac_load,house_2_12C_tm_2_C_12_Meter_48_497:hvac_load,house_2_13C_tm_2_C_13_Meter_48_498:hvac_load,house_2_14C_tm_2_C_14_Meter_48_499:hvac_load,house_2_15C_tm_2_C_15_Meter_48_500:hvac_load
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44798137655,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44809379903,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+5.16898122141,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45151595985,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+5.16911135834,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45024812077,+0,+0,+1.29396310389,+0,+0
2010-08-16 00:48:00 UTC,+0,+5.1655735646,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29320984469,+0,+0
2010-08-16 00:48:30 UTC,+0,+5.16649438077,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.2936483676,+0,+0
2010-08-16 00:49:00 UTC,+0,+5.17093251503,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.45880097786,+0,+0,+0,+1.29211771472,+0,+0
2010-08-16 00:49:30 UTC,+0,+5.16521610882,+0,+3.8743350862,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.46276832758,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+5.16355981478,+5.59423581466,+3.8730926948,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.46757744323,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+5.16269832746,+5.59330245501,+3.87244649043,+0,+0,+0,+0,+0,+0,+0,+0,+4.7430718086,+6.46704409077,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+5.15665609787,+5.586756133,+3.86791419475,+0,+0,+0,+0,+0,+0,+0,+0,+4.74372278348,+6.46793165863,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+5.16265985283,+5.59326077052,+3.87241763049,+0,+0,+0,+0,+0,+0,+0,+0,+4.74413500096,+6.46849369413,+0,+0,+5.17516492172,+0,+0,+1.72537988293
2010-08-16 00:52:00 UTC,+0,+5.16659475448,+5.59752395386,+3.87536921266,+0,+0,+0,+0,+0,+0,+0,+0,+4.74265066744,+6.46646988833,+0,+0,+5.17354574304,+0,+0,+1.72484002981
2010-08-16 00:52:30 UTC,+0,+0,+5.59958038645,+3.87679296793,+0,+0,+0,+0,+0,+0,+3.0166987154,+0,+4.7400375205,+6.46290700852,+0,+1.72387179101,+5.17069520321,+0,+0,+1.72388962645
