# file...... Output/hvac/house_hvac_file_035.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_62_681:hvac_load,house_3_1A_tm_3_A_1_Meter_63_682:hvac_load,house_3_2A_tm_3_A_2_Meter_63_683:hvac_load,house_3_3A_tm_3_A_3_Meter_63_684:hvac_load,house_3_4A_tm_3_A_4_Meter_63_685:hvac_load,house_3_5A_tm_3_A_5_Meter_63_686:hvac_load,house_3_6A_tm_3_A_6_Meter_63_687:hvac_load,house_3_7A_tm_3_A_7_Meter_63_688:hvac_load,house_3_8A_tm_3_A_8_Meter_63_689:hvac_load,house_3_9A_tm_3_A_9_Meter_63_690:hvac_load,house_3_10A_tm_3_A_10_Meter_63_691:hvac_load,house_3_11A_tm_3_A_11_Meter_63_692:hvac_load,house_3_12A_tm_3_A_12_Meter_63_693:hvac_load,house_3_13A_tm_3_A_13_Meter_63_694:hvac_load,house_3_14A_tm_3_A_14_Meter_63_695:hvac_load,house_3_15A_tm_3_A_15_Meter_63_696:hvac_load,house_3_1B_tm_3_B_1_Meter_64_697:hvac_load,house_3_2B_tm_3_B_2_Meter_64_698:hvac_load,house_3_3B_tm_3_B_3_Meter_64_699:hvac_load,house_3_4B_tm_3_B_4_Meter_64_700:hvac_load
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73421701988,+0,+3.87372935159,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73417502688,+0,+3.87369499043,+3.01278389283,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73523797974,+0,+0,+3.01346035495,+0,+0,+0,+2.58171849898
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73238053875,+0,+0,+3.01164188239,+0,+0,+0,+2.58240501691
2010-08-16 00:40:30 UTC,+3.01112914415,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01173254487,+0,+0,+0,+2.58175186365
2010-08-16 00:41:00 UTC,+3.01117764042,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01315517694,+0,+0,+0,+2.58102802176
2010-08-16 00:41:30 UTC,+3.01278103337,+5.59144248363,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58110359361
2010-08-16 00:42:00 UTC,+3.00990665476,+5.58952019693,+0,+0,+0,+0,+0,+0,+2.15040835059,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58356375301
2010-08-16 00:42:30 UTC,+3.01096335022,+5.5932423837,+0,+0,+0,+0,+5.59327739938,+0,+2.15184045797,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+5.58971479862,+3.87040204171,+0,+5.16022218089,+0,+5.58974979615,+0,+2.15048322339,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+5.5954350073,+3.87436295389,+0,+5.16550302639,+0,+5.59547003429,+0,+2.15268406761,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+5.59266748405,+3.87244660488,+0,+5.16294807373,+0,+5.59270249678,+0,+2.15161926603,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+5.59103028245,+3.87131293785,+4.73115025199,+5.16143662382,+0,+5.59106528675,+0,+2.15098935441,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+5.59170320112,+3.87177889494,+4.73171968671,+5.16205785633,+0,+5.59173820888,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+5.58713358913,+3.868614704,+4.72785280671,+5.15783923126,+0,+5.58716857338,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01304283728,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+3.87067167677,+4.7303665826,+0,+0,+5.59013919558,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01280587912,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+4.73004572375,+0,+0,+5.58976002471,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01311604423,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+4.72946251864,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01277355097,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+4.72935801167,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01293826693,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+4.73096252046,+0,+0,+0,+0,+0,+0,+0,+2.15087326586,+0,+0,+0,+0,+0,+3.0089411908,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.14810939655,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15059533274,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.2978039275,+2.14916340032,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+4.7217657865,+0,+0,+0,+0,+4.29278818714,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+4.72377801625,+0,+0,+0,+0,+4.29461763662,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+4.7288525621,+0,+0,+0,+0,+4.29923123757,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+4.72259901959,+0,+0,+0,+0,+4.29354573375,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+4.724478041,+0,+0,+0,+0,+4.29525407483,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+4.72543290549,+0,+0,+0,+0,+4.29612220448,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30013839927,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87135419266,+0,+0,+0,+0,+0
