# file...... Output/hvac/house_hvac_file_060.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_103_1181:hvac_load,house_3_1C_tm_3_C_1_Meter_104_1182:hvac_load,house_3_2C_tm_3_C_2_Meter_104_1183:hvac_load,house_3_3C_tm_3_C_3_Meter_104_1184:hvac_load,house_3_4C_tm_3_C_4_Meter_104_1185:hvac_load,house_3_5C_tm_3_C_5_Meter_104_1186:hvac_load,house_3_6C_tm_3_C_6_Meter_104_1187:hvac_load,house_3_7C_tm_3_C_7_Meter_104_1188:hvac_load,house_3_8C_tm_3_C_8_Meter_104_1189:hvac_load,house_3_9C_tm_3_C_9_Meter_104_1190:hvac_load,house_3_10C_tm_3_C_10_Meter_104_1191:hvac_load,house_3_11C_tm_3_C_11_Meter_104_1192:hvac_load,house_3_12C_tm_3_C_12_Meter_104_1193:hvac_load,house_3_13C_tm_3_C_13_Meter_104_1194:hvac_load,house_3_14C_tm_3_C_14_Meter_104_1195:hvac_load,house_3_15C_tm_3_C_15_Meter_104_1196:hvac_load,house_3_1B_tm_3_B_1_Meter_106_1197:hvac_load,house_3_2B_tm_3_B_2_Meter_106_1198:hvac_load,house_3_3B_tm_3_B_3_Meter_106_1199:hvac_load,house_3_4B_tm_3_B_4_Meter_106_1200:hvac_load
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+5.65230938294,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17268652309,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+5.65403391085,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+2.60902396255,+0,+5.65206226833,+0,+0,+0,+6.52088589969,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+2.61112664573,+0,+0,+0,+0,+0,+6.52614096172,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+2.6082578109,+0,+0,+0,+0,+0,+6.51897112011,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+2.60953842425,+0,+0,+0,+0,+0,+6.52217165111,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+2.17497461392,+0,+0,+2.6086984548,+0,+0,+0,+0,+0,+6.52007238479,+2.17397813016,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+2.17649817555,+0,+0,+0,+0,+0,+0,+0,+0,+6.52498183715,+2.17561518512,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+2.17490780764,+0,+0,+0,+0,+0,+0,+0,+0,+6.51952866534,+2.17379682706,+0,+5.21677146112,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+2.173865829,+0,+0,+0,+0,+0,+0,+0,+0,+6.51651254717,+2.17279110361,+0,+5.21435792344,+0,+0,+0,+0,+0,+0,+0
