# file...... Output/hvac/house_hvac_file_058.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13B_tm_3_B_13_Meter_99_1141:hvac_load,house_3_14B_tm_3_B_14_Meter_99_1142:hvac_load,house_3_15B_tm_3_B_15_Meter_99_1143:hvac_load,house_3_1C_tm_3_C_1_Meter_100_1144:hvac_load,house_3_2C_tm_3_C_2_Meter_100_1145:hvac_load,house_3_3C_tm_3_C_3_Meter_100_1146:hvac_load,house_3_4C_tm_3_C_4_Meter_100_1147:hvac_load,house_3_5C_tm_3_C_5_Meter_100_1148:hvac_load,house_3_6C_tm_3_C_6_Meter_100_1149:hvac_load,house_3_7C_tm_3_C_7_Meter_100_1150:hvac_load,house_3_8C_tm_3_C_8_Meter_100_1151:hvac_load,house_3_9C_tm_3_C_9_Meter_100_1152:hvac_load,house_3_10C_tm_3_C_10_Meter_100_1153:hvac_load,house_3_11C_tm_3_C_11_Meter_100_1154:hvac_load,house_3_12C_tm_3_C_12_Meter_100_1155:hvac_load,house_3_13C_tm_3_C_13_Meter_100_1156:hvac_load,house_3_14C_tm_3_C_14_Meter_100_1157:hvac_load,house_3_15C_tm_3_C_15_Meter_100_1158:hvac_load,house_3_1C_tm_3_C_1_Meter_102_1159:hvac_load,house_3_2C_tm_3_C_2_Meter_102_1160:hvac_load
2010-08-16 15:08:30 UTC,+5.65097645043,+0,+2.60833555244,+3.05138117663,+2.61566544206,+4.79446642524,+0,+5.66593865707,+5.66629811293,+0,+5.66639407759,+2.61558647724,+5.66625076395,+0,+3.05134271506,+3.48732472491,+3.05163826001,+5.6660627539,+4.35682296753,+3.48567474685
2010-08-16 15:09:00 UTC,+5.6552095577,+0,+2.61028947379,+3.04835259479,+2.6130692642,+4.78970796644,+0,+5.66031531543,+5.66067427225,+0,+5.66077015927,+2.61299041702,+5.66062701467,+0,+3.04831420952,+3.48386346736,+3.04860935562,+5.66043921753,+4.35262331288,+3.48231477304
2010-08-16 15:09:30 UTC,+5.65256696222,+0,+2.60906970227,+3.05244240819,+2.61657515688,+4.79613381518,+0,+5.6679091067,+5.66826873735,+0,+5.66836472923,+2.61649615086,+5.66822135637,+0,+3.0524039199,+3.4885375684,+3.05269960457,+0,+4.35798229703,+3.48660227946
2010-08-16 15:10:00 UTC,+5.65795611404,+0,+2.61155723162,+3.0478605222,+2.61264744698,+4.78893482998,+0,+5.65940165607,+5.65976053178,+3.04807497066,+5.65985640619,+0,+5.65971328906,+0,+3.04782214934,+3.48330109525,+3.04811723062,+0,+4.3507749225,+3.48083595067
2010-08-16 15:10:30 UTC,+5.65567745754,+3.91564995437,+2.6105054474,+3.04794686185,+2.61272264627,+4.78907266054,+1.74190039301,+5.65956453829,+5.65992342847,+3.04816270273,+5.66001930513,+0,+5.6598761831,+0,+0,+3.48340135191,+3.048204964,+0,+4.35016521785,+3.48034815064
2010-08-16 15:11:00 UTC,+5.64686486682,+3.90954856985,+2.60643772406,+3.04394687607,+2.6092937529,+4.7827879425,+1.73961432168,+5.65213752926,+5.65249575989,+3.04416234736,+5.65259153416,+0,+5.65244863542,+6.08713974983,+0,+3.47882990763,+3.04420454848,+0,+4.34439961108,+3.47573532181
2010-08-16 15:11:30 UTC,+0,+3.91246539336,+2.60838233697,+3.03904864588,+2.60509486051,+4.77509191687,+1.73681488563,+5.64304269777,+5.64340012015,+3.03926366437,+5.64349576926,+0,+5.64335314399,+6.07734482814,+0,+3.47323189123,+3.03930579184,+0,+4.33778202606,+3.47044085958
2010-08-16 15:12:00 UTC,+0,+3.91269675878,+2.60853658565,+3.0384154097,+2.60455203372,+4.77409698576,+1.73645297854,+5.64186693105,+5.6422242489,+3.03863036965,+5.64231988184,+0,+5.64217729193,+6.07607855475,+0,+3.47250818771,+3.03867248759,+0,+4.33707166953,+3.4698711982
2010-08-16 15:12:30 UTC,+0,+3.91310381027,+2.60880796223,+3.03739999979,+2.60368159746,+4.77250158911,+1.73587265152,+5.63998156005,+5.64033871023,+3.03761486582,+5.64043431726,+0,+5.64029178405,+6.07404805403,+0,+3.47134771116,+3.0376569685,+0,+4.33564421812,+3.46872915289
2010-08-16 15:13:00 UTC,+0,+3.9122180553,+0,+3.03598541246,+2.60246897575,+4.77027901098,+1.73506418664,+5.637355013,+5.63771192957,+3.03620014765,+5.63780750052,+2.60238944361,+5.6376650463,+6.07121932393,+0,+3.46973102868,+3.03624222906,+0,+4.33400612041,+3.46741857812
