# file...... Output/hvac/house_hvac_file_061.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_5B_tm_3_B_5_Meter_106_1201:hvac_load,house_3_6B_tm_3_B_6_Meter_106_1202:hvac_load,house_3_7B_tm_3_B_7_Meter_106_1203:hvac_load,house_3_8B_tm_3_B_8_Meter_106_1204:hvac_load,house_3_9B_tm_3_B_9_Meter_106_1205:hvac_load,house_3_10B_tm_3_B_10_Meter_106_1206:hvac_load,house_3_11B_tm_3_B_11_Meter_106_1207:hvac_load,house_3_12B_tm_3_B_12_Meter_106_1208:hvac_load,house_3_13B_tm_3_B_13_Meter_106_1209:hvac_load,house_3_14B_tm_3_B_14_Meter_106_1210:hvac_load,house_3_15B_tm_3_B_15_Meter_106_1211:hvac_load,house_3_1B_tm_3_B_1_Meter_107_1212:hvac_load,house_3_2B_tm_3_B_2_Meter_107_1213:hvac_load,house_3_3B_tm_3_B_3_Meter_107_1214:hvac_load,house_3_4B_tm_3_B_4_Meter_107_1215:hvac_load,house_3_5B_tm_3_B_5_Meter_107_1216:hvac_load,house_3_6B_tm_3_B_6_Meter_107_1217:hvac_load,house_3_7B_tm_3_B_7_Meter_107_1218:hvac_load,house_3_8B_tm_3_B_8_Meter_107_1219:hvac_load,house_3_9B_tm_3_B_9_Meter_107_1220:hvac_load
2010-08-16 00:37:30 UTC,+0,+2.17211081389,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60568559709,+0,+0,+0,+4.77663493666,+0,+3.90820095759,+0
2010-08-16 00:38:00 UTC,+0,+2.16888936896,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60118270591,+3.03461378425,+0,+0,+4.76838060372,+0,+3.90144733677,+0
2010-08-16 00:38:30 UTC,+0,+2.16931723505,+0,+0,+0,+3.90460594703,+0,+0,+0,+2.16939268,+0,+0,+2.60193702432,+3.03549378558,+0,+0,+4.76976335869,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+2.17013538858,+0,+0,+0,+3.90607854591,+0,+0,+0,+2.17021087122,+0,+0,+0,+3.03684184451,+0,+0,+0,+0,+0,+3.47046990649
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+3.90936531517,+0,+0,+0,+2.17203703429,+0,+0,+0,+3.03937591231,+0,+0,+0,+0,+0,+3.47336575809
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+3.91051596201,+0,+0,+0,+2.17267634559,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47456903173
2010-08-16 00:40:30 UTC,+4.34379258679,+0,+0,+0,+0,+3.90956348645,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47372295925
2010-08-16 00:41:00 UTC,+4.34228244858,+0,+0,+0,+0,+3.90820429693,+5.64497287401,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47288725766
2010-08-16 00:41:30 UTC,+4.34310366035,+0,+0,+0,+0,+0,+5.64604044911,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47350153704
2010-08-16 00:42:00 UTC,+4.3485094717,+0,+0,+0,+0,+0,+5.65306800253,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+4.34369448862,+0,+0,+0,+0,+0,+5.64680852571,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+4.34534749171,+0,+0,+5.64849750792,+0,+0,+5.64895742932,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+4.34211466317,+0,+0,+5.64429526037,+1.73703618722,+0,+5.64475475302,+0,+0,+0,+0,+0,+0,+0,+3.03933190816,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+4.34429447733,+0,+0,+5.64712872914,+1.73790822958,+0,+5.64758851088,+0,+0,+0,+0,+0,+0,+0,+3.04076695387,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+5.64882236239,+1.73842947053,+0,+5.64928231693,+0,+0,+0,+0,+0,+0,+0,+3.04163756273,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+5.64967298494,+1.73869126235,+0,+5.65013302629,+0,+0,+0,+0,+0,+0,+0,+3.0420955395,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+5.65011023051,+0,+0,+5.6505703165,+0,+0,+0,+0,+0,+0,+0,+3.04233095352,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91191953948,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91132411198,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91124484124,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.90544010878,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60633694002,+0,+3.90894875534,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60784945776,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60587108133,+0,+0,+2.60592961056,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60641436985,+0,+0,+2.60647291528,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60489498043,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.6008951569,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60571962563,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
