# file...... Output/hvac/house_hvac_file_009.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_8A_tm_0_A_8_Meter_20_161:hvac_load,house_0_9A_tm_0_A_9_Meter_20_162:hvac_load,house_0_10A_tm_0_A_10_Meter_20_163:hvac_load,house_0_11A_tm_0_A_11_Meter_20_164:hvac_load,house_0_12A_tm_0_A_12_Meter_20_165:hvac_load,house_0_13A_tm_0_A_13_Meter_20_166:hvac_load,house_0_14A_tm_0_A_14_Meter_20_167:hvac_load,house_0_15A_tm_0_A_15_Meter_20_168:hvac_load,house_1_1B_tm_1_B_1_Meter_22_169:hvac_load,house_1_2B_tm_1_B_2_Meter_22_170:hvac_load,house_1_3B_tm_1_B_3_Meter_22_171:hvac_load,house_1_4B_tm_1_B_4_Meter_22_172:hvac_load,house_1_5B_tm_1_B_5_Meter_22_173:hvac_load,house_1_6B_tm_1_B_6_Meter_22_174:hvac_load,house_1_7B_tm_1_B_7_Meter_22_175:hvac_load,house_1_8B_tm_1_B_8_Meter_22_176:hvac_load,house_1_9B_tm_1_B_9_Meter_22_177:hvac_load,house_1_10B_tm_1_B_10_Meter_22_178:hvac_load,house_1_11B_tm_1_B_11_Meter_22_179:hvac_load,house_1_12B_tm_1_B_12_Meter_22_180:hvac_load
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+3.0214924726,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+3.02217832259,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3106154059,+5.17264841881,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3096406128,+5.17147869531,+0,+0,+0,+2.58621780185,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31189895995,+5.17418864649,+5.17396242138,+0,+0,+2.58757309593,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3102838569,+5.1722505696,+5.17202445993,+0,+0,+2.58660382972,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31191093254,+5.17420301326,+5.1739767873,+0,+0,+2.58758028099,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31009508227,+5.17202404552,+5.17179794936,+0,+0,+2.58649054104,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17299328702,+5.17276713312,+0,+0,+2.58697527569,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+3.88235525524,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17533024545,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+3.88140434165,+0,+0,+0,+0,+0,+0,+4.31251173624,+0,+0,+0,+5.17428105578,+0,+0,+0,+0,+2.15651564252
2010-08-16 00:45:30 UTC,+0,+0,+0,+3.88029931178,+0,+0,+0,+0,+0,+0,+4.3133000684,+0,+0,+0,+5.17522687776,+0,+0,+0,+0,+2.15690986776
2010-08-16 00:46:00 UTC,+0,+0,+0,+3.88114047681,+0,+0,+0,+0,+0,+0,+4.31344068971,+0,+0,+0,+0,+0,+0,+0,+0,+2.15698018896
2010-08-16 00:46:30 UTC,+0,+0,+0,+3.88172551302,+0,+0,+0,+0,+0,+0,+4.3124503327,+0,+0,+0,+0,+0,+0,+0,+0,+2.15648493613
2010-08-16 00:47:00 UTC,+0,+0,+0,+3.87973874571,+0,+0,+0,+0,+0,+0,+4.31238425777,+0,+0,+0,+0,+0,+0,+0,+0,+2.15645189372
2010-08-16 00:47:30 UTC,+0,+3.87862791971,+0,+3.87883046646,+0,+0,+0,+0,+0,+0,+4.31292042866,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+3.88019816118,+0,+0,+0,+0,+0,+0,+0,+0,+4.31007677252,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+2.15430724656,+3.87750990962,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17305690197,+0
2010-08-16 00:49:00 UTC,+2.15574176886,+3.8800918583,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17587731741,+0
2010-08-16 00:49:30 UTC,+2.1559949593,+3.88054756728,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17200848125,+0
2010-08-16 00:50:00 UTC,+2.15436365121,+3.87761143048,+0,+0,+0,+0,+0,+0,+6.03209140398,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17078109752,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+2.15494163004,+6.03075312407,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16963388051,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+2.15644073456,+6.02515132609,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16483183722,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+2.15471995065,+6.03046603962,+0,+0,+6.46179169237,+0,+0,+0,+0,+0,+0,+5.16938778239,+0
