# file...... Output/house_1_1B_tm_1_B_1_Meter_22_169.csv
# date...... Tue Dec  5 21:17:54 2017
# user...... yingying
# host...... (null)
# target.... house 1231
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_state, air_temperature, hvac_load, total_load
2010-08-16 00:04:29 UTC,OFF,+74.3459733879,+0,+1.3615
2010-08-16 00:04:30 UTC,OFF,+74.3467347123,+0,+1.3615
2010-08-16 00:04:31 UTC,OFF,+74.3474849483,+0,+1.3615
2010-08-16 00:04:32 UTC,OFF,+74.3482336598,+0,+1.3615
2010-08-16 00:04:33 UTC,OFF,+74.3489808518,+0,+1.3615
2010-08-16 00:04:34 UTC,OFF,+74.3497265291,+0,+1.3615
2010-08-16 00:04:35 UTC,OFF,+74.3504706966,+0,+1.3615
2010-08-16 00:04:36 UTC,OFF,+74.351213359,+0,+1.3615
2010-08-16 00:04:37 UTC,OFF,+74.3519545213,+0,+1.3615
2010-08-16 00:04:38 UTC,OFF,+74.3526941881,+0,+1.3615
2010-08-16 00:04:39 UTC,OFF,+74.3534323643,+0,+1.3615
2010-08-16 00:04:40 UTC,OFF,+74.3541690547,+0,+1.3615
2010-08-16 00:04:41 UTC,OFF,+74.354904264,+0,+1.3615
2010-08-16 00:04:42 UTC,OFF,+74.3556379969,+0,+1.3615
2010-08-16 00:04:43 UTC,OFF,+74.3563702581,+0,+1.3615
2010-08-16 00:04:44 UTC,OFF,+74.3571010525,+0,+1.3615
2010-08-16 00:04:45 UTC,OFF,+74.3578303846,+0,+1.3615
2010-08-16 00:04:46 UTC,OFF,+74.3585582591,+0,+1.3615
2010-08-16 00:04:47 UTC,OFF,+74.3592846808,+0,+1.3615
2010-08-16 00:04:48 UTC,OFF,+74.3600096542,+0,+1.3615
2010-08-16 00:04:49 UTC,OFF,+74.3607331839,+0,+1.3615
2010-08-16 00:04:50 UTC,OFF,+74.3614552747,+0,+1.3615
2010-08-16 00:04:51 UTC,OFF,+74.362175931,+0,+1.3615
2010-08-16 00:04:52 UTC,OFF,+74.3628951576,+0,+1.3615
2010-08-16 00:04:53 UTC,OFF,+74.3636129589,+0,+1.3615
2010-08-16 00:04:54 UTC,OFF,+74.3643293395,+0,+1.3615
2010-08-16 00:04:55 UTC,OFF,+74.3650443039,+0,+1.3615
2010-08-16 00:04:56 UTC,OFF,+74.3657578567,+0,+1.3615
2010-08-16 00:04:57 UTC,OFF,+74.3664700025,+0,+1.3615
2010-08-16 00:04:58 UTC,OFF,+74.3671807456,+0,+1.3615
2010-08-16 00:04:59 UTC,OFF,+74.3678900905,+0,+1.3615
2010-08-16 00:05:00 UTC,OFF,+74.3685980419,+0,+1.3615
2010-08-16 00:05:01 UTC,OFF,+74.3692955255,+0,+1.3615
2010-08-16 00:05:02 UTC,OFF,+74.3699916497,+0,+1.3615
2010-08-16 00:05:03 UTC,OFF,+74.3706864188,+0,+1.3615
2010-08-16 00:05:04 UTC,OFF,+74.371379837,+0,+1.3615
2010-08-16 00:05:05 UTC,OFF,+74.3720719087,+0,+1.3615
2010-08-16 00:05:06 UTC,OFF,+74.3727626382,+0,+1.3615
2010-08-16 00:05:07 UTC,OFF,+74.3734520299,+0,+1.3615
2010-08-16 00:05:08 UTC,OFF,+74.3741400878,+0,+1.3615
2010-08-16 00:05:09 UTC,OFF,+74.3748268164,+0,+1.3615
2010-08-16 00:05:10 UTC,OFF,+74.3755122199,+0,+1.3615
