# file...... Output/DG_57.csv
# date...... Thu Dec  7 09:03:37 2017
# user...... yingying
# host...... (null)
# target.... load 20
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,constant_power_A_real,constant_power_B_real,constant_power_C_real
2010-08-16 01:39:00 UTC,-20875.3429458,-20875.3429458,-20875.3429458
2010-08-16 01:39:30 UTC,-20875.3429458,-20875.3429458,-20875.3429458
2010-08-16 01:40:00 UTC,-25515.1019874,-25515.1019874,-25515.1019874
2010-08-16 01:40:30 UTC,-25515.1019874,-25515.1019874,-25515.1019874
2010-08-16 01:41:00 UTC,-25515.1019874,-25515.1019874,-25515.1019874
2010-08-16 01:41:30 UTC,-25515.1019874,-25515.1019874,-25515.1019874
2010-08-16 01:42:00 UTC,-39396.7659659,-39396.7659659,-39396.7659659
2010-08-16 01:42:30 UTC,-40355.2007418,-40355.2007418,-40355.2007418
2010-08-16 01:43:00 UTC,-40355.2007418,-40355.2007418,-40355.2007418
2010-08-16 01:43:30 UTC,-40355.2007418,-40355.2007418,-40355.2007418
2010-08-16 01:44:00 UTC,-40355.2007418,-40355.2007418,-40355.2007418
2010-08-16 01:44:30 UTC,-40355.2007418,-40355.2007418,-40355.2007418
2010-08-16 01:45:00 UTC,-35502.254332,-35502.254332,-35502.254332
2010-08-16 01:45:30 UTC,-35502.254332,-35502.254332,-35502.254332
2010-08-16 01:46:00 UTC,-35502.254332,-35502.254332,-35502.254332
2010-08-16 01:46:30 UTC,-35502.254332,-35502.254332,-35502.254332
