# file...... Output/Qh/house_Qh_file_035.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_62_681:Qh,house_3_1A_tm_3_A_1_Meter_63_682:Qh,house_3_2A_tm_3_A_2_Meter_63_683:Qh,house_3_3A_tm_3_A_3_Meter_63_684:Qh,house_3_4A_tm_3_A_4_Meter_63_685:Qh,house_3_5A_tm_3_A_5_Meter_63_686:Qh,house_3_6A_tm_3_A_6_Meter_63_687:Qh,house_3_7A_tm_3_A_7_Meter_63_688:Qh,house_3_8A_tm_3_A_8_Meter_63_689:Qh,house_3_9A_tm_3_A_9_Meter_63_690:Qh,house_3_10A_tm_3_A_10_Meter_63_691:Qh,house_3_11A_tm_3_A_11_Meter_63_692:Qh,house_3_12A_tm_3_A_12_Meter_63_693:Qh,house_3_13A_tm_3_A_13_Meter_63_694:Qh,house_3_14A_tm_3_A_14_Meter_63_695:Qh,house_3_15A_tm_3_A_15_Meter_63_696:Qh,house_3_1B_tm_3_B_1_Meter_64_697:Qh,house_3_2B_tm_3_B_2_Meter_64_698:Qh,house_3_3B_tm_3_B_3_Meter_64_699:Qh,house_3_4B_tm_3_B_4_Meter_64_700:Qh
2010-08-16 00:43:00 UTC,+0,-56279.1358713,-38968.514536,+0,-51954.8591846,+0,-56279.4882382,+0,-21651.7911697,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,-56336.7288637,-39008.3943371,+0,-52008.0285201,+0,-56337.0815271,+0,-21673.9500124,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,-56308.8645051,-38989.0998883,+0,-51982.3043941,+0,-56309.2170251,+0,-21663.2292306,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,-56292.3806067,-38977.6857458,-47634.8181351,-51967.0866061,+0,-56292.7330418,+0,-21656.8870677,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,-56299.155779,-38982.3771591,-47640.5513961,-51973.3413847,+0,-56299.508249,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,-56253.1473826,-38950.5190164,-47601.6183426,-51930.8668432,+0,-56253.4996159,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30336.332592,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,-38971.2293127,-47626.9278871,+0,+0,-56283.4088432,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30333.9468173,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,-47623.6973718,+0,+0,-56279.5912229,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30337.0696643,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,-47617.8254658,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30333.6213265,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,-47616.7732544,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30335.2797424,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,-47632.9279906,+0,+0,+0,+0,+0,+0,+0,-21655.718249,+0,+0,+0,+0,+0,-30295.0358304,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21627.8906796,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21652.9199245,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43271.7410275,-21638.5027455,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,-47540.332168,+0,+0,+0,+0,-43221.2408601,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,-47560.5919765,+0,+0,+0,+0,-43239.6603752,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,-47611.6842175,+0,+0,+0,+0,-43286.1116673,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,-47548.7214401,+0,+0,+0,+0,-43228.8680952,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,-47567.6400621,+0,+0,+0,+0,-43246.06825,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,-47577.2539601,+0,+0,+0,+0,-43254.8088724,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43295.2452776,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38978.1011132,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38994.7300456,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39023.5633573,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39031.1162549,+0,+0,+0,+0,-39031.0689642,+0,+0,+0,+0,+0
