# file...... Output/Qh/house_Qh_file_028.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12B_tm_2_B_12_Meter_49_541:Qh,house_2_13B_tm_2_B_13_Meter_49_542:Qh,house_2_14B_tm_2_B_14_Meter_49_543:Qh,house_2_15B_tm_2_B_15_Meter_49_544:Qh,house_2_16B_tm_2_B_16_Meter_49_545:Qh,house_2_17B_tm_2_B_17_Meter_49_546:Qh,house_2_18B_tm_2_B_18_Meter_49_547:Qh,house_2_19B_tm_2_B_19_Meter_49_548:Qh,house_2_20B_tm_2_B_20_Meter_49_549:Qh,house_2_21B_tm_2_B_21_Meter_49_550:Qh,house_2_22B_tm_2_B_22_Meter_49_551:Qh,house_2_23B_tm_2_B_23_Meter_49_552:Qh,house_2_24B_tm_2_B_24_Meter_49_553:Qh,house_2_25B_tm_2_B_25_Meter_49_554:Qh,house_2_26B_tm_2_B_26_Meter_49_555:Qh,house_2_27B_tm_2_B_27_Meter_49_556:Qh,house_2_28B_tm_2_B_28_Meter_49_557:Qh,house_2_29B_tm_2_B_29_Meter_49_558:Qh,house_2_1C_tm_2_C_1_Meter_49_559:Qh,house_2_2C_tm_2_C_2_Meter_49_560:Qh
2010-08-16 00:49:00 UTC,-43392.2420571,+0,+0,-17357.6107197,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,-43346.1930975,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56346.0766751,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,-43333.061349,-43329.0484944,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56329.0068529,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,-43318.4043776,-47649.8021833,+0,+0,+0,+0,+0,+0,+0,+0,-56315.1689971,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,-43269.5988705,-47596.1166213,+0,+0,+0,+0,+0,+0,+0,+0,-56251.7195255,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,-43319.3258739,-47650.8158197,+0,+0,+0,+0,+0,+0,+0,+0,-56316.3669858,+0,+0,+0,+0,-51978.3890305,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,-43350.1733708,-47684.7477527,+0,+0,+0,+0,+0,+0,+0,+0,-56356.4701921,+0,+0,+0,+0,-52015.4019087,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,-43363.3943805,-47699.290729,+0,+0,+0,+0,+0,+0,+0,+0,-56373.6581303,+0,+0,-34693.5452882,+0,-52031.2653555,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,-43344.4844812,-47678.4900321,+0,+0,+0,+0,+0,+0,+0,+0,-56349.0743664,+0,+0,-34678.4157853,+0,-52008.5760007,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,-43345.4930869,-47679.5994881,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34679.2227544,+0,-52009.7861928,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34715.8507124,+0,-52064.7162692,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34700.342871,+0,-52041.4595288,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34743.2156754,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,-26052.6750783,-60783.9622067,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,-26052.9876386,-60784.691433,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
