# file...... Output/Qh/house_Qh_file_062.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_10B_tm_3_B_10_Meter_107_1221:Qh,house_3_11B_tm_3_B_11_Meter_107_1222:Qh,house_3_12B_tm_3_B_12_Meter_107_1223:Qh,house_3_13B_tm_3_B_13_Meter_107_1224:Qh,house_3_14B_tm_3_B_14_Meter_107_1225:Qh,house_3_15B_tm_3_B_15_Meter_107_1226:Qh,house_3_1A_tm_3_A_1_Meter_109_1227:Qh,house_3_2A_tm_3_A_2_Meter_109_1228:Qh,house_3_3A_tm_3_A_3_Meter_109_1229:Qh,house_3_4A_tm_3_A_4_Meter_109_1230:Qh,house_3_5A_tm_3_A_5_Meter_109_1231:Qh,house_3_6A_tm_3_A_6_Meter_109_1232:Qh,house_3_7A_tm_3_A_7_Meter_109_1233:Qh,house_3_8A_tm_3_A_8_Meter_109_1234:Qh,house_3_9A_tm_3_A_9_Meter_109_1235:Qh,house_3_10A_tm_3_A_10_Meter_109_1236:Qh,house_3_11A_tm_3_A_11_Meter_109_1237:Qh,house_3_12A_tm_3_A_12_Meter_109_1238:Qh,house_3_13A_tm_3_A_13_Meter_109_1239:Qh,house_3_14A_tm_3_A_14_Meter_109_1240:Qh
2010-08-16 00:45:00 UTC,-17502.4348778,+0,+0,+0,+0,+0,-30653.2256454,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,-17503.7893149,+0,+0,+0,+0,+0,-30618.8461878,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,-30633.2241676,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39383.1637791
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39380.9329124
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39380.822166
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,-39382.3880931,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39380.976946
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,-39323.939428,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21892.8982947,-39402.0625234
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,-39359.2684823,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30594.4798578,+0,+0,-21853.8111436,-39331.7176368
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,-39382.1090598,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30639.2981063,+0,+0,-21885.8253766,-39389.3334391
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,-39353.1173874,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30618.4002038,+0,+0,-21870.8977448,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,-39361.321849,+0,+0,+0,+0,+0,+0,+0,-52410.5230661,+0,-30574.8778809,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,-39338.3768177,+0,+0,+0,+0,+0,+0,+0,-52430.4486293,+0,-30586.5021026,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52495.6959697,+0,-30624.5662481,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52416.6136055,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52451.5755674,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52454.3960536,+0,+0,-30600.5638762,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52519.3139739,+0,+0,-30638.4360033,+0,+0,+0
