# file...... Output/Qh/house_Qh_file_055.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_14C_tm_3_C_14_Meter_92_1081:Qh,house_3_15C_tm_3_C_15_Meter_92_1082:Qh,house_3_1A_tm_3_A_1_Meter_94_1083:Qh,house_3_2A_tm_3_A_2_Meter_94_1084:Qh,house_3_3A_tm_3_A_3_Meter_94_1085:Qh,house_3_4A_tm_3_A_4_Meter_94_1086:Qh,house_3_5A_tm_3_A_5_Meter_94_1087:Qh,house_3_6A_tm_3_A_6_Meter_94_1088:Qh,house_3_7A_tm_3_A_7_Meter_94_1089:Qh,house_3_8A_tm_3_A_8_Meter_94_1090:Qh,house_3_9A_tm_3_A_9_Meter_94_1091:Qh,house_3_10A_tm_3_A_10_Meter_94_1092:Qh,house_3_11A_tm_3_A_11_Meter_94_1093:Qh,house_3_12A_tm_3_A_12_Meter_94_1094:Qh,house_3_13A_tm_3_A_13_Meter_94_1095:Qh,house_3_14A_tm_3_A_14_Meter_94_1096:Qh,house_3_15A_tm_3_A_15_Meter_94_1097:Qh,house_3_1B_tm_3_B_1_Meter_95_1098:Qh,house_3_2B_tm_3_B_2_Meter_95_1099:Qh,house_3_3B_tm_3_B_3_Meter_95_1100:Qh
2010-08-16 00:38:30 UTC,+0,+0,-52561.9520796,+0,+0,+0,+0,-21903.7706731,+0,+0,+0,+0,+0,+0,+0,-48184.6597723,+0,+0,+0,-21818.2593192
2010-08-16 00:39:00 UTC,+0,+0,-52563.310564,+0,+0,-43805.492918,+0,-21904.3368026,+0,+0,+0,+0,+0,+0,+0,-48185.9051431,+0,+0,+0,-21828.5412773
2010-08-16 00:39:30 UTC,+0,-35009.1894204,-52555.0623393,+0,+0,-43798.6188682,+0,-21900.899469,+0,+0,-61312.4253805,-30658.6804797,+0,+0,+0,-48178.3437029,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,-35040.4312086,-52513.5347652,+0,+0,-43764.0098908,+0,-21883.5934264,+0,+0,-61263.9782792,-30634.4546522,+0,+0,+0,-48140.2739015,+0,+0,-52449.3514439,+0
2010-08-16 00:40:30 UTC,+0,-35053.1443066,-52515.903975,+0,+0,-43765.9843844,+0,+0,+0,+0,-61266.7422584,-30635.8367717,+0,+0,+0,-48142.4458403,+0,+0,-52429.435292,+0
2010-08-16 00:41:00 UTC,+0,-35052.7252318,+0,+0,+0,-43806.3347318,+0,+0,+0,+0,-61323.2263709,-30664.0814824,+0,+0,+0,+0,+0,+0,-52416.9946152,+0
2010-08-16 00:41:30 UTC,+0,-35076.6101609,+0,+0,+0,-43776.2431464,+0,+0,+0,+0,-61281.1029053,-30643.0177697,+0,+0,+0,+0,+0,+0,-52412.4263274,+0
2010-08-16 00:42:00 UTC,+0,-35037.0946474,+0,+0,+0,-43762.2998736,+0,+0,+0,+0,-61261.5845253,-30633.2576627,+0,+0,+0,+0,+0,+0,-52468.8707171,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61333.7101464,+0,+0,+0,+0,+0,+0,+0,-52396.6513673,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61294.5289117,+0,+0,+0,+0,+0,+0,+0,+0,+0
