# file...... Output/Qh/house_Qh_file_011.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_3A_tm_1_A_3_Meter_28_201:Qh,house_1_4A_tm_1_A_4_Meter_28_202:Qh,house_1_5A_tm_1_A_5_Meter_28_203:Qh,house_1_6A_tm_1_A_6_Meter_28_204:Qh,house_1_7A_tm_1_A_7_Meter_28_205:Qh,house_1_8A_tm_1_A_8_Meter_28_206:Qh,house_1_9A_tm_1_A_9_Meter_28_207:Qh,house_1_10A_tm_1_A_10_Meter_28_208:Qh,house_1_11A_tm_1_A_11_Meter_28_209:Qh,house_1_12A_tm_1_A_12_Meter_28_210:Qh,house_1_13A_tm_1_A_13_Meter_28_211:Qh,house_1_14A_tm_1_A_14_Meter_28_212:Qh,house_1_15A_tm_1_A_15_Meter_28_213:Qh,house_1_1A_tm_1_A_1_Meter_29_214:Qh,house_1_2A_tm_1_A_2_Meter_29_215:Qh,house_1_3A_tm_1_A_3_Meter_29_216:Qh,house_1_4A_tm_1_A_4_Meter_29_217:Qh,house_1_5A_tm_1_A_5_Meter_29_218:Qh,house_1_6A_tm_1_A_6_Meter_29_219:Qh,house_1_7A_tm_1_A_7_Meter_29_220:Qh
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52064.1991285,+0,+0,-60745.8036203,+0,+0,-47729.6735144
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,-26050.5831878,+0,+0,+0,+0,+0,-52082.1480745,-47748.5967563,+0,-60766.7460603,+0,+0,-47746.1285931
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,-26033.0105897,+0,+0,+0,+0,+0,-52047.0203001,-47716.3904537,+0,-60725.7597363,+0,+0,-47713.9244571
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,-26052.9189168,+0,+0,+0,+0,+0,-52088.8851308,-47754.7735117,+0,+0,+0,+0,-47752.3049329
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,-26054.1292465,+0,+0,+0,+0,+0,-52091.8135666,-47757.4583983,+0,+0,+0,+0,-47754.9896389
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,-26033.0801089,+0,+0,+0,+0,+0,+0,-47719.2604556,-52056.5633769,+0,+0,+0,-47716.7942659
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47721.2979886,-52058.7861022,+0,+0,+0,-47718.8316618
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47753.8544918,-52094.3016806,+0,+0,+0,-47751.3859749
2010-08-16 00:51:30 UTC,+0,+0,-30365.3932702,+0,+0,+0,+0,+0,+0,+0,+0,-73720.6884219,+0,+0,+0,-52048.1316299,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,-30360.7637491,+0,+0,+0,+0,+0,+0,+0,-60714.5069844,-73709.4497834,+0,+0,+0,-52041.1775728,+0,+0,+0,+0
