$state_name=Hawaii
$city_name=Oahu
$lat_deg=21
$lat_min=28
$long_deg=-157
$long_min=59
$timezone_offset=-8
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
08:15:5:23:42,75,0.64,8.1,0,0,0
08:15:5:23:45,75,0.64,8.1,0,0,0
08:15:5:23:48,75,0.64,8.1,0,0,0
08:15:5:23:51,75,0.64,8.1,0,0,0
08:15:5:23:54,75,0.64,8.1,0,0,0
08:15:5:23:57,75,0.64,8.1,0,0,0
08:15:5:24:0,75,0.64,8.1,0,0,0
08:15:5:24:3,75,0.64,8.1,0,0,0
08:15:5:24:6,75,0.64,8.1,0,0,0
08:15:5:24:9,75,0.64,8.1,0,0,0
08:15:5:24:12,75,0.64,8.1,0,0,0
08:15:5:24:15,75,0.64,8.1,0,0,0
08:15:5:24:18,75,0.64,8.1,0,0,0
08:15:5:24:21,75,0.64,8.1,0,0,0
08:15:5:24:24,75,0.64,8.1,0,0,0
08:15:5:24:27,75,0.64,8.1,0,0,0
08:15:5:24:30,75,0.64,8.1,0,0,0
08:15:5:24:33,75,0.64,8.1,0,0,0
08:15:5:24:36,75,0.64,8.1,0,0,0
08:15:5:24:39,75,0.64,8.1,0,0,0
08:15:5:24:42,75,0.64,8.1,0,0,0
08:15:5:24:45,75,0.64,8.1,0,0,0
08:15:5:24:48,75,0.64,8.1,0,0,0
08:15:5:24:51,75,0.64,8.1,0,0,0
08:15:5:24:54,75,0.64,8.1,0,0,0
08:15:5:24:57,75,0.64,8.1,0,0,0
08:15:5:25:0,75,0.64,8.1,0,0,0
08:15:5:25:3,75,0.64,8.1,0,0,0
08:15:5:25:6,75,0.64,8.1,0,0,0
08:15:5:25:9,75,0.64,8.1,0,0,0
08:15:5:25:12,75,0.64,8.1,0,0,0
08:15:5:25:15,75,0.64,8.1,0,0,0
08:15:5:25:18,75,0.64,8.1,0,0,0
08:15:5:25:21,75,0.64,8.1,0,0,0
08:15:5:25:24,75,0.64,8.1,0,0,0
